name,url,description,found_by
ImuziSagirl/SAAI-Last,https://github.com/ImuziSagirl/SAAI-Last,,cursor_config: filename:.cursorignore
Noodieknoodie/investment-dashboard,https://github.com/Noodieknoodie/investment-dashboard,,cursor_config: filename:.cursorignore
timaeus-research/texpert,https://github.com/timaeus-research/texpert,An intelligent LaTeX and BibTeX assistant that helps verify and clean up your academic documents.,cursor_config: filename:.cursorignore
christopher-dabrowski/AI_devs3-Zadania,https://github.com/christopher-dabrowski/AI_devs3-Zadania,Moje rozwiązania do zadań z kursu AI_devs3,cursor_config: filename:.cursorignore
Dnshbbu/PythonBackendForMT5,https://github.com/Dnshbbu/PythonBackendForMT5,,cursor_config: filename:.cursorignore
kamibayashi/mastra_handson,https://github.com/kamibayashi/mastra_handson,,cursor_config: filename:.cursorignore
1742020289/form-designer,https://github.com/1742020289/form-designer,,cursor_config: filename:.cursorignore
athesing-point/pdc-calcs,https://github.com/athesing-point/pdc-calcs,Code used for the calculators on point.com,cursor_config: filename:.cursorignore
caplight-tech/be-interview,https://github.com/caplight-tech/be-interview,,cursor_config: filename:.cursorignore
mateusztylec/project-template,https://github.com/mateusztylec/project-template,,cursor_config: filename:.cursorignore
arudhir/planter,https://github.com/arudhir/planter,Automated transcriptome assembly,cursor_config: filename:.cursorignore
thibo73800/notionflow,https://github.com/thibo73800/notionflow,,cursor_config: filename:.cursorignore
bossjones/democracy-exe,https://github.com/bossjones/democracy-exe,"democracy_exe is an advanced, agentic Python application leveraging LangChain and LangGraph",cursor_config: filename:.cursorignore
mikopbx/Core,https://github.com/mikopbx/Core,"Main repository! MikoPBX - is free, easy to setup PBX for small business based on Asterisk 16 core",cursor_config: filename:.cursorignore
0xmrwn/mpvrs,https://github.com/0xmrwn/mpvrs,A Rust video player library using mpv via CLI and JSON IPC.,cursor_config: filename:.cursorignore
defiQUG/tatum-defi_oracle_meta,https://github.com/defiQUG/tatum-defi_oracle_meta,,cursor_config: filename:.cursorignore
Pein2017/Dinov2,https://github.com/Pein2017/Dinov2,Fork the repository from DINOv2 by Facebook Research(https://github.com/facebookresearch/dinov2) and customized for downstream task.,cursor_config: filename:.cursorignore
dwarvesf/newsletter-digest,https://github.com/dwarvesf/newsletter-digest,,cursor_config: filename:.cursorignore
JohnPeng47/codesearch-backend,https://github.com/JohnPeng47/codesearch-backend,Backend for RTFS codesearch,cursor_config: filename:.cursorignore
ilyasudakov/docs-parser,https://github.com/ilyasudakov/docs-parser,,cursor_config: filename:.cursorignore
thrashr888/samuraidata-io,https://github.com/thrashr888/samuraidata-io,Samurai Data - AI dataset CMS,cursor_config: filename:.cursorignore
ThoseGrapefruits/pong-racket,https://github.com/ThoseGrapefruits/pong-racket,"3d pong, in racket",cursor_config: filename:.cursorignore
ctrlShiftBryan/.zsh,https://github.com/ctrlShiftBryan/.zsh,,cursor_config: filename:.cursorignore
vectorez/Apuvehiculos,https://github.com/vectorez/Apuvehiculos,Vehiculos,cursor_config: filename:.cursorignore
steinarbragi/files-to-pinecone,https://github.com/steinarbragi/files-to-pinecone,"a python script that can convert a folder of mixed documents (pdfs, word, excel, etc.) into a pinecone index",cursor_config: filename:.cursorignore
